Region,Customer_ID,Customer_Name,Sales,region_rank
Africa,AT-4351,Alyssa Tate,540,424
Africa,AT-7351,Annie Thurman,10,748
Africa,AW-9301,Arthur Wiediger,413,481
Africa,AY-5551,Andy Yotov,660,373
Africa,AZ-7501,Annie Zypern,1461,182
Africa,BB-15451,Brenda Bowman,131,659
Africa,BB-9901,Barry Blumstein,507,439
Africa,BC-11251,Becky Castell,85,684
Africa,BD-13201,Bill Donatelli,57,712
Africa,BD-15001,Bradley Drucker,52,716
Africa,BD-15601,Brendan Dodson,137,656
Africa,BD-16051,Brian Dahlen,208,590
Africa,BD-16201,Brian DeCherney,429,469
Africa,BD-16351,Brian Derr,592,401
Africa,BD-17251,Bruce Degenhardt,2849,57
Africa,BD-17701,Bryan Davis,1630,153
Africa,BE-13351,Bill Eplett,705,353
Africa,BE-14101,Bobby Elias,1718,141
Africa,BE-14551,Brad Eason,937,283
Africa,BF-10051,Barry Franz,699,354
Africa,BF-10201,Barry Französisch,2217,90
Africa,BF-10801,Bart Folk,1568,164
Africa,BF-11701,Ben Ferrer,268,555
Africa,BF-12151,Benjamin Farhat,399,489
Africa,BF-12751,Beth Fritzler,24,738
Africa,BF-9751,Barbara Fisher,1009,260
Africa,BG-16951,Brooke Gillingham,413,482
Africa,BG-17401,Bruce Geld,145,650
Africa,BH-17101,Brosina Hoffman,1333,207
Africa,BK-12601,Berenike Kampe,214,589
Africa,BM-11401,Becky Martin,86,683
Africa,BM-15751,Brendan Murry,1368,199
Africa,BM-16501,Brian Moss,341,519
Africa,BM-17851,Bryan Mills,2096,97
Africa,BN-14701,Brad Norvell,1325,209
Africa,BN-15151,Bradley Nguyen,773,327
Africa,BO-13501,Bill Overfelt,477,450
Africa,BO-14251,Bobby Odegard,1560,166
Africa,BP-10501,Barry Pond,2953,54
Africa,BP-10951,Bart Pistole,414,480
Africa,BP-11551,Becky Pak,87,682
Africa,BP-11851,Ben Peterman,580,407
Africa,BP-12301,Benjamin Patterson,5496,7
Africa,BP-12901,Beth Paige,65,700
Africa,BS-13651,Bill Shonely,807,316
Africa,BS-13801,Bill Stewart,160,639
Africa,BS-15901,Brendan Sweed,35,726
Africa,BS-16651,Brian Stugart,1016,257
Africa,BS-17551,Bruce Stewart,1675,150
Africa,BS-18001,Bryan Spruell,4163,22
Africa,BT-13051,Beth Thompson,916,292
Africa,BT-13951,Bill Tyler,205,593
Africa,BT-14401,Bobby Trafton,541,422
Africa,BT-14851,Brad Thomas,174,617
Africa,BT-15301,Bradley Talbott,105,678
Africa,BT-16801,Brian Thompson,482,447
Africa,BW-10651,Barry Weirich,8957,1
Africa,BW-11101,Bart Watters,411,484
Africa,BW-12001,Ben Wallace,2997,51
Africa,CA-19651,Carol Adams,435,465
Africa,CA-22651,Christina Anderson,321,533
Africa,CA-23101,Christine Abelman,221,582
Africa,CA-27751,Cynthia Arntzen,742,337
Africa,CB-24151,Christy Brittain,64,701
Africa,CB-25351,Claudia Bergmann,116,671
Africa,CC-21001,Chad Cunningham,513,437
Africa,CC-21451,Charles Crestani,671,368
Africa,CC-22201,Chris Cortes,1568,165
Africa,CC-23701,Christopher Conant,1414,188
Africa,CC-24301,Chuck Clark,154,645
Africa,CC-24751,Cindy Chapman,2488,76
Africa,CC-25501,Clay Cheatham,321,534
Africa,CC-26701,Craig Carreira,658,374
Africa,CC-26851,Craig Carroll,3954,31
Africa,CD-19201,Carlos Daly,1602,159
Africa,CD-19801,Carol Darley,996,261
Africa,CD-22801,Christina DeMoss,566,413
Africa,CD-27901,Cynthia Delaney,910,294
Africa,CG-20401,Catherine Glotzbach,36,725
Africa,CG-25201,Claire Gute,180,608
Africa,CH-20701,Cathy Hwang,528,429
Africa,CJ-18751,Carl Jackson,411,485
Africa,CJ-20101,Caroline Jumper,116,672
Africa,CK-22051,Chloris Kastensmidt,3,754
Africa,CK-23251,Christine Kargatis,260,562
Africa,CK-25951,Clytie Kelty,115,673
Africa,CK-27601,Cyma Kinney,2081,98
Africa,CL-18901,Carl Ludwig,325,532
Africa,CL-25651,Clay Ludtke,2713,65
Africa,CL-27001,Craig Leslie,1393,193
Africa,CM-18151,Candace McMahon,392,492
Africa,CM-18301,Cari MacIntyre,3061,49
Africa,CM-19351,Carlos Meador,160,640
Africa,CM-21151,Chad McGuire,1304,218
Africa,CM-21601,Charles McCrossin,2144,93
Africa,CM-21901,Charlotte Melton,1317,213
Africa,CM-22351,Chris McAfee,8,750
Africa,CM-23851,Christopher Martinez,553,418
Africa,CM-24451,Chuck Magee,341,520
Africa,CM-26551,Corinna Mitchell,412,483
Africa,CM-27151,Craig Molinari,629,385
Africa,CP-20851,Cathy Prescott,1887,120
Africa,CP-23401,Christine Phan,4136,24
Africa,CR-25801,Clay Rozendal,2793,60
Africa,CR-26251,Corey Roper,1216,231
Africa,CR-27301,Craig Reiter,986,263
Africa,CR-28201,Cyra Reiten,600,398
Africa,CS-18451,Cari Sayre,204,595
Africa,CS-18601,Cari Schnelling,861,310
Africa,CS-19501,Carlos Soltero,533,426
Africa,CS-21301,Chad Sievert,466,455
Africa,CS-21751,Charles Sheldon,1380,196
Africa,CS-22501,Chris Selesnick,179,610
Africa,CS-23551,Christine Sundaresam,925,288
Africa,CS-24001,Christopher Schild,1742,139
Africa,CS-24601,Chuck Sachs,1707,143
Africa,CS-24901,Cindy Schnelling,14,744
Africa,CS-25051,Cindy Stewart,1804,130
Africa,CV-22951,Christina VanderZanden,387,493
Africa,CV-28051,Cynthia Voltz,3070,48
Africa,CW-19051,Carl Weiss,922,290
Africa,CY-27451,Craig Yedwab,262,560
Africa,Co-26401,Corey-Lock,755,330
Africa,DA-34501,Dianna Arnett,1237,226
Africa,DB-29101,Daniel Byrd,792,320
Africa,DB-29701,Darren Budd,181,606
Africa,DB-30601,Dave Brooks,631,384
Africa,DB-31201,David Bremer,206,592
Africa,DB-32101,Dean Braden,370,502
Africa,DB-32701,Deborah Brumfield,662,372
Africa,DB-33601,Dennis Bolton,3691,33
Africa,DB-35551,Dorothy Badders,131,660
Africa,DB-36151,Doug Bickford,2686,67
Africa,DB-36601,Duane Benoit,728,342
Africa,DC-28501,Dan Campbell,1476,178
Africa,DC-32851,Debra Catini,574,410
Africa,DD-35701,Dorothy Dickinson,1823,128
Africa,DE-32551,Deanra Eno,142,652
Africa,DF-31351,David Flashing,1049,252
Africa,DG-33001,Deirdre Greer,2949,55
Africa,DH-30751,Dave Hallsten,1587,160
Africa,DH-36751,Duane Huffman,3412,40
Africa,DJ-34201,Denny Joy,263,558
Africa,DJ-35101,Don Jones,2406,78
Africa,DJ-36301,Doug Jacobs,245,572
Africa,DK-28351,Damala Kotsonis,1830,127
Africa,DK-28951,Dana Kaydos,254,565
Africa,DK-29851,Darren Koutras,81,690
Africa,DK-30901,Dave Kipp,67,699
Africa,DK-31501,David Kendrick,333,525
Africa,DK-32251,Dean Katz,822,314
Africa,DK-33751,Dennis Kane,1764,134
Africa,DL-28651,Dan Lawera,926,287
Africa,DL-29251,Daniel Lacy,356,511
Africa,DL-33151,Delfina Latchford,715,344
Africa,DL-33301,Denise Leinenbach,14,745
Africa,DL-34951,Dionis Lloyd,655,375
Africa,DM-29551,Dario Medina,878,301
Africa,DM-30151,Darrin Martin,966,272
Africa,DM-33451,Denise Monton,334,524
Africa,DM-35251,Don Miller,246,571
Africa,DN-36901,Duane Noonan,735,338
Africa,DO-34351,Denny Ordway,2261,87
Africa,DO-36451,Doug O'Connell,251,567
Africa,DP-30001,Darren Powers,1107,243
Africa,DP-31051,Dave Poirier,5858,6
Africa,DP-31651,David Philippe,1364,200
Africa,DP-33901,Dennis Pardue,714,346
Africa,DR-28801,Dan Reichenbach,1091,245
Africa,DR-29401,Daniel Raglin,2065,101
Africa,DS-30301,Darrin Sayre,691,358
Africa,DS-31801,David Smith,177,613
Africa,DV-30451,Darrin Van Huff,1269,223
Africa,DV-34651,Dianna Vittorini,162,635
Africa,DW-31951,David Wiener,55,714
Africa,DW-34801,Dianna Wilson,1339,205
Africa,DW-35401,Don Weiss,25,734
Africa,DW-35851,Dorothy Wardle,435,466
Africa,Dl-36001,Dorris liebe,993,262
Africa,Dp-32401,Dean percer,382,497
Africa,EB-37051,Ed Braxton,2720,64
Africa,EB-38401,Ellis Ballard,9,749
Africa,EB-38701,Emily Burns,84,687
Africa,EB-39301,Eric Barreto,1462,181
Africa,EB-39751,Erica Bern,2074,100
Africa,EB-41101,Eugene Barchas,1475,179
Africa,EB-41701,Evan Bailliet,872,302
Africa,EC-40501,Erin Creighton,1537,168
Africa,ED-38851,Emily Ducich,166,628
Africa,EG-39001,Emily Grady,5151,8
Africa,EH-37651,Edward Hooks,605,396
Africa,EH-39451,Eric Hoffmann,1244,224
Africa,EH-39901,Erica Hackney,635,381
Africa,EH-40051,Erica Hernandez,976,265
Africa,EH-41251,Eugene Hildebrand,1087,246
Africa,EH-41851,Evan Henry,1863,124
Africa,EJ-37201,Ed Jacobs,1204,234
Africa,EJ-41551,Eva Jacobs,1841,125
Africa,EK-37951,Eileen Kiefer,174,618
Africa,EL-37351,Ed Ludwig,1976,108
Africa,EM-38101,Eleni McCrary,166,629
Africa,EM-38251,Elizabeth Moffitt,41,723
Africa,EM-39601,Eric Murdock,1171,237
Africa,EM-40651,Erin Mull,1775,131
Africa,EM-40951,Eudokia Martin,1759,138
Africa,EM-41401,Eugene Moren,639,379
Africa,EM-42001,Evan Minnotte,1922,116
Africa,EN-37801,Edward Nazzal,179,611
Africa,EP-39151,Emily Phan,294,545
Africa,ER-38551,Elpida Rittenbach,464,456
Africa,ES-40201,Erica Smith,367,504
Africa,ES-40801,Erin Smith,960,273
Africa,FA-42301,Frank Atkinson,172,621
Africa,FC-42451,Frank Carlisle,946,278
Africa,FC-43351,Fred Chung,126,666
Africa,FG-42601,Frank Gastineau,83,688
Africa,FH-42751,Frank Hawley,34,727
Africa,FH-43501,Fred Harton,45,722
Africa,FH-43651,Fred Hopkins,192,600
Africa,FM-42151,Filia McAdams,1994,107
Africa,FM-42901,Frank Merwin,327,530
Africa,FM-43801,Fred McMath,49,718
Africa,FO-43051,Frank Olsen,140,653
Africa,FP-43201,Frank Preis,161,636
Africa,FW-43951,Fred Wasserman,683,362
Africa,GA-45151,George Ashbrook,247,569
Africa,GB-45301,George Bell,375,498
Africa,GB-45751,Giulietta Baptist,1372,198
Africa,GD-45901,Giulietta Dortch,46,721
Africa,GG-46501,Greg Guthrie,26,733
Africa,GH-44101,Gary Hansen,967,271
Africa,GH-44251,Gary Hwang,3649,35
Africa,GH-44851,Gene Hale,346,515
Africa,GH-46651,Greg Hansen,361,507
Africa,GK-46201,Grace Kelly,649,376
Africa,GM-44401,Gary McGarr,596,400
Africa,GM-44551,Gary Mitchum,207,591
Africa,GM-45001,Gene McClure,3670,34
Africa,GM-46801,Greg Matthias,522,432
Africa,GM-46951,Greg Maxwell,474,451
Africa,GP-47401,Guy Phonely,3415,39
Africa,GR-45601,Georgia Rosenberg,4473,17
Africa,GT-46351,Grant Thornton,1113,241
Africa,GT-47101,Greg Tran,221,583
Africa,GT-47551,Guy Thornton,2475,77
Africa,GW-46051,Giulietta Weimer,565,414
Africa,GZ-44701,Gary Zandusky,2619,69
Africa,GZ-45451,George Zrebassa,92,681
Africa,HA-49051,Helen Abelman,146,649
Africa,HD-47851,Harold Dahlen,3311,42
Africa,HE-48001,Harold Engle,227,578
Africa,HF-49951,Herbert Flentye,1410,190
Africa,HG-48451,Harry Greene,1765,133
Africa,HG-49651,Henry Goldwyn,83,689
Africa,HG-50251,Hunter Glantz,1057,250
Africa,HH-50101,Hilary Holden,1296,219
Africa,HJ-48751,Heather Jas,233,575
Africa,HK-48901,Heather Kirkland,301,543
Africa,HL-50401,Hunter Lopez,127,665
Africa,HM-48601,Harry Marie,259,563
Africa,HM-49801,Henry MacAllister,4068,27
Africa,HP-48151,Harold Pawlan,608,394
Africa,HR-47701,Hallie Redmond,1833,126
Africa,HR-48301,Harold Ryan,331,526
Africa,HW-49351,Helen Wasserman,443,462
Africa,HZ-49501,Henia Zydlo,2525,74
Africa,IG-50851,Ivan Gibson,4148,23
Africa,IL-51001,Ivan Liston,368,503
Africa,IM-50551,Ionia McGrath,3118,45
Africa,IM-50701,Irene Maddox,168,627
Africa,JA-59701,Joseph Airdo,872,303
Africa,JB-54001,Jennifer Braxton,1666,151
Africa,JB-59251,Joni Blumstein,351,512
Africa,JB-60001,Joy Bell-,786,323
Africa,JB-60451,Julia Barnett,2058,103
Africa,JC-53401,Jasper Cacioppo,427,470
Africa,JC-53851,Jenna Caffey,893,298
Africa,JC-57751,John Castell,314,536
Africa,JC-61051,Julie Creighton,61,703
Africa,JD-57901,John Dryer,959,275
Africa,JD-58951,Jonathan Doherty,1435,185
Africa,JD-60151,Joy Daniels,1188,235
Africa,JD-60601,Julia Dunbar,3471,36
Africa,JD-61501,Justin Deggeller,1679,149
Africa,JE-54751,Jeremy Ellison,179,612
Africa,JE-56101,Jim Epp,613,390
Africa,JE-57151,Joe Elijah,107,677
Africa,JE-57451,Joel Eaton,499,443
Africa,JE-61651,Justin Ellison,4343,19
Africa,JF-51901,Jamie Frazer,128,664
Africa,JF-52951,Jason Fortune-,681,363
Africa,JF-53551,Jay Fein,575,409
Africa,JF-54151,Jennifer Ferguson,6470,4
Africa,JF-54901,Jeremy Farry,709,350
Africa,JF-55651,Jill Fjeld,3367,41
Africa,JG-51151,Jack Garza,836,313
Africa,JG-51601,James Galang,1274,222
Africa,JG-58051,John Grady,81,691
Africa,JH-54301,Jennifer Halladay,790,321
Africa,JH-58201,John Huston,920,291
Africa,JH-59101,Jonathan Howell,2272,85
Africa,JH-59851,Joseph Holt,1536,169
Africa,JH-61801,Justin Hirsh,1762,135
Africa,JJ-54451,Jennifer Jackson,1952,115
Africa,JJ-57601,Joel Jenkins,908,295
Africa,JK-52051,Jamie Kunitz,621,388
Africa,JK-53251,Jason Klamczynski,203,596
Africa,JK-53701,Jay Kimmel,2350,80
Africa,JK-56251,Jim Karlsson,1969,110
Africa,JK-56401,Jim Kriz,164,633
Africa,JK-57301,Joe Kamberova,2764,61
Africa,JK-60901,Juliana Krohn,1078,248
Africa,JK-61201,Julie Kriz,625,386
Africa,JL-51301,Jack Lebron,1313,214
Africa,JL-51751,James Lanier,691,359
Africa,JL-55051,Jeremy Lonsdale,927,286
Africa,JL-58351,John Lee,731,340
Africa,JL-58501,John Lucas,599,399
Africa,JM-52501,Janet Martin,1956,113
Africa,JM-52651,Janet Molinari,708,352
Africa,JM-55351,Jessica Myrick,73,695
Africa,JM-55801,Jill Matthias,715,345
Africa,JM-56551,Jim Mitchum,2336,83
Africa,JM-58651,John Murray,697,356
Africa,JM-61951,Justin MacKendrick,535,425
Africa,JO-51451,Jack O'Briant,2255,88
Africa,JO-55501,Jesus Ocampo,1880,122
Africa,JP-54601,Jennifer Patt,113,675
Africa,JP-55201,Jeremy Pistek,1213,232
Africa,JP-61351,Julie Prescott,231,577
Africa,JR-56701,Jim Radford,1480,176
Africa,JR-57001,Jocasta Rupert,1409,191
Africa,JR-62101,Justin Ritter,617,389
Africa,JS-55951,Jill Stevenson,59,707
Africa,JS-56851,Jim Sink,263,559
Africa,JS-58801,John Stevenson,973,266
Africa,JS-59401,Joni Sundaresam,755,331
Africa,JS-60301,Joy Smith,1122,239
Africa,JW-52201,Jane Waco,6173,5
Africa,JW-59551,Joni Wasserman,249,568
Africa,JW-60751,Julia West,644,378
Africa,KA-65251,Kelly Andreada,407,487
Africa,KB-62401,Karen Bern,868,304
Africa,KB-63151,Karl Braun,1109,242
Africa,KB-66001,Ken Brennan,608,395
Africa,KC-62551,Karen Carlisle,698,355
Africa,KC-65401,Kelly Collister,175,616
Africa,KC-66751,Kimberly Carter,19,739
Africa,KD-63451,Katherine Ducich,364,506
Africa,KD-64951,Keith Dawkins,938,282
Africa,KD-66151,Ken Dana,205,594
Africa,KE-64201,Katrina Edelman,573,411
Africa,KF-62851,Karen Ferguson,291,548
Africa,KH-63301,Katharine Harms,1311,215
Africa,KH-63601,Katherine Hughes,1616,155
Africa,KH-65101,Keith Herrera,1473,180
Africa,KH-66301,Ken Heidel,340,522
Africa,KH-66901,Kristen Hastings,405,488
Africa,KL-65551,Kelly Lampkin,1401,192
Africa,KL-66451,Ken Lonsdale,1340,204
Africa,KM-62251,Kalyca Meade,7,751
Africa,KM-63751,Katherine Murray,1355,201
Africa,KM-66601,Khloe Miller,19,740
Africa,KN-63901,Katherine Nockton,117,670
Africa,KN-64501,Kean Nguyen,1221,230
Africa,KN-67051,Kristina Nunn,318,535
Africa,KS-63001,Karen Seio,113,676
Africa,KT-64651,Kean Takahito,939,281
Africa,KT-64801,Kean Thornton,1720,140
Africa,KW-64351,Katrina Willman,427,471
Africa,KW-65701,Kelly Williams,549,419
Africa,LA-67801,Laura Armstrong,559,415
Africa,LB-67351,Larry Blacks,743,335
Africa,LB-67951,Laurel Beltran,247,570
Africa,LC-68701,Lena Cacioppo,294,546
Africa,LC-68851,Lena Creighton,1711,142
Africa,LC-69301,Linda Cazamias,3984,30
Africa,LC-69601,Lindsay Castell,1905,119
Africa,LC-70501,Liz Carlisle,1909,117
Africa,LC-71401,Logan Currie,1309,217
Africa,LD-68551,Lela Donovan,1703,146
Africa,LD-70051,Lisa DeCherney,61,704
Africa,LF-71851,Luke Foster,351,513
Africa,LH-67501,Larry Hughes,312,537
Africa,LH-69001,Lena Hernandez,815,315
Africa,LH-70201,Lisa Hazard,969,268
Africa,LH-71551,Logan Haushalter,137,657
Africa,LL-68401,Lauren Leatherbury,3082,47
Africa,LM-70651,Liz MacKendrick,1616,156
Africa,LO-71701,Lori Olson,1349,203
Africa,LP-70801,Liz Pelletier,1625,154
Africa,LP-70951,Liz Preis,4,753
Africa,LR-69151,Lena Radford,49,719
Africa,LR-70351,Lisa Ryan,1864,123
Africa,LS-69451,Linda Southworth,1321,211
Africa,LS-69751,Lindsay Shagiari,217,586
Africa,LS-72301,Lycoris Saunders,505,440
Africa,LS-72451,Lynn Smith,915,293
Africa,LT-67651,Larry Tron,1279,220
Africa,LT-71101,Liz Thompson,7853,2
Africa,LW-68251,Laurel Workman,329,528
Africa,LW-69901,Lindsay Williams,172,622
Africa,LW-71251,Liz Willingham,2012,105
Africa,LW-72151,Luke Weiss,896,297
Africa,MA-75601,Matt Abelman,559,416
Africa,MA-79951,Michelle Arnett,1558,167
Africa,MB-73051,Maria Bertelson,4215,21
Africa,MB-80851,Mick Brown,139,655
Africa,MC-72751,Marc Crier,1324,210
Africa,MC-74251,Mark Cousins,1381,195
Africa,MC-75751,Matt Collins,761,329
Africa,MC-75901,Matt Collister,481,449
Africa,MC-76051,Matt Connell,18,742
Africa,MC-76351,Matthew Clasen,634,382
Africa,MC-78451,Michael Chen,384,495
Africa,MC-81301,Mike Caudle,345,517
Africa,MD-73501,Maribeth Dona,732,339
Africa,ME-73201,Maria Etezadi,419,474
Africa,ME-77251,Max Engle,514,435
Africa,ME-80101,Michelle Ellison,161,637
Africa,MF-76651,Maureen Fritzler,58,710
Africa,MF-82501,Monica Federle,25,735
Africa,MG-76501,Matthew Grinstein,302,542
Africa,MG-76801,Maureen Gastineau,2878,56
Africa,MG-76951,Maureen Gnade,557,417
Africa,MG-78751,Michael Grace,80,693
Africa,MG-81451,Mike Gockenbach,4881,11
Africa,MG-82051,Mitch Gastineau,1355,202
Africa,MH-72901,Marc Harrigan,1684,148
Africa,MH-74401,Mark Haberlin,2763,62
Africa,MH-74551,Mark Hamilton,457,459
Africa,MH-76201,Matt Hagelstein,372,500
Africa,MH-77851,Maya Herman,1580,161
Africa,MH-80251,Michelle Huthwaite,451,460
Africa,MH-81151,Mick Hernandez,942,280
Africa,MJ-77401,Max Jones,1080,247
Africa,MK-79051,Michael Kennedy,347,514
Africa,MK-81601,Mike Kennedy,1310,216
Africa,ML-73951,Marina Lichtenstein,497,444
Africa,ML-77551,Max Ludwig,937,284
Africa,ML-80401,Michelle Lonsdale,1513,172
Africa,ML-82651,Muhammed Lee,984,264
Africa,MM-72601,Magdelene Morse,19,741
Africa,MM-79201,Michael Moore,968,269
Africa,MM-80551,Michelle Moray,686,361
Africa,MM-82801,Muhammed MacIntyre,664,371
Africa,MN-79351,Michael Nguyen,71,696
Africa,MO-75001,Mary O'Rourke,580,408
Africa,MO-78001,Meg O'Connel,1885,121
Africa,MO-79501,Michael Oakman,712,348
Africa,MP-74701,Mark Packer,59,708
Africa,MP-79651,Michael Paige,295,544
Africa,MP-81751,Mike Pelletier,944,279
Africa,MR-75451,Mathew Reese,1963,111
Africa,MS-73651,Maribeth Schnelling,1233,229
Africa,MS-75301,MaryBeth Skach,569,412
Africa,MS-77101,Maurice Satty,164,634
Africa,MS-77701,Maxwell Schwartz,217,587
Africa,MS-78301,Melanie Seite,305,539
Africa,MS-79801,Michael Stewart,673,366
Africa,MT-78151,Meg Tillman,344,518
Africa,MT-80701,Michelle Tran,4827,13
Africa,MV-74851,Mark Van Huff,636,380
Africa,MV-81901,Mike Vittorini,3445,37
Africa,MW-82201,Mitch Webber,224,579
Africa,MW-82351,Mitch Willingham,675,365
Africa,MY-73801,Maribeth Yedwab,158,641
Africa,MY-82951,Muhammed Yedwab,2993,52
Africa,MZ-73351,Maria Zettner,180,609
Africa,MZ-75151,Mary Zewe,1234,228
Africa,NB-85801,Nicole Brennan,633,383
Africa,NB-86551,Nona Balk,131,661
Africa,NC-83401,Nat Carroll,2280,84
Africa,NC-84151,Nathan Cano,287,549
Africa,NC-85351,Nick Crebassa,782,324
Africa,NC-86251,Noah Childs,339,523
Africa,ND-83701,Natalie DeCherney,360,508
Africa,ND-84601,Neil Ducich,1973,109
Africa,NF-83851,Natalie Fritzler,2029,104
Africa,NF-84751,Neil Französisch,755,332
Africa,NF-85951,Nicole Fjeld,801,319
Africa,NG-83551,Nat Gilpin,358,509
Africa,NG-84301,Nathan Gelder,430,468
Africa,NH-86101,Nicole Hansen,31,728
Africa,NK-84901,Neil Knudson,2393,79
Africa,NL-83101,Nancy Lomonaco,222,580
Africa,NM-84451,Nathan Mautz,191,602
Africa,NP-83251,Naresj Patel,219,585
Africa,NP-86701,Nora Paige,1954,114
Africa,NP-86851,Nora Pelletier,4655,15
Africa,NP-87001,Nora Preis,1330,208
Africa,NR-85501,Nick Radford,305,540
Africa,NS-85051,Neola Schneider,901,296
Africa,NS-86401,Noel Staavos,694,357
Africa,NW-84001,Natalie Webber,5100,9
Africa,ON-87151,Odella Nelson,346,516
Africa,OT-87301,Olvera Toch,220,584
Africa,PA-90601,Pete Armstrong,3223,43
Africa,PB-88051,Patrick Bzostek,254,566
Africa,PB-91501,Philip Brown,393,491
Africa,PB-92101,Phillip Breyer,270,554
Africa,PC-87451,Pamela Coakley,85,685
Africa,PC-90001,Pauline Chand,1040,254
Africa,PF-91201,Peter Fuller,714,347
Africa,PF-91651,Philip Fox,1533,170
Africa,PF-92251,Phillip Flathmann,357,510
Africa,PG-88201,Patrick Gardner,459,457
Africa,PG-88951,Paul Gonzalez,482,448
Africa,PH-87901,Patricia Hirasaki,177,614
Africa,PJ-88351,Patrick Jones,581,406
Africa,PJ-90151,Pauline Johnson,623,387
Africa,PK-90751,Pete Kriz,533,427
Africa,PL-89251,Paul Lucas,261,561
Africa,PM-89401,Paul MacIntyre,863,309
Africa,PM-91351,Peter McVee,746,334
Africa,PN-87751,Parhena Norris,1024,256
Africa,PO-88501,Patrick O'Brill,1076,249
Africa,PO-88651,Patrick O'Donnell,2607,71
Africa,PO-91801,Philisse Overcash,416,478
Africa,PO-91951,Phillina Ober,7799,3
Africa,PP-89551,Paul Prost,232,576
Africa,PR-88801,Patrick Ryan,517,434
Africa,PS-87601,Pamela Stobb,531,428
Africa,PS-89701,Paul Stevenson,57,713
Africa,PS-90451,Penelope Sewall,341,521
Africa,PT-90901,Pete Takahito,804,317
Africa,PV-89851,Paul Van Hugh,3156,44
Africa,PW-90301,Pauline Webber,509,438
Africa,PW-92401,Pierre Wener,1097,244
Africa,QJ-92551,Quincy Jones,165,630
Africa,RA-92851,Ralph Arnett,2760,63
Africa,RA-98851,Ruben Ausman,59,709
Africa,RA-99151,Russell Applegate,201,597
Africa,RA-99451,Ryan Akin,1012,259
Africa,RB-93301,Randy Bradley,2079,99
Africa,RB-93601,Raymond Buch,171,624
Africa,RB-94351,Richard Bierner,215,588
Africa,RB-94651,Rick Bensley,418,476
Africa,RB-95701,Rob Beeghly,267,556
Africa,RB-96451,Robert Barroso,147,648
Africa,RB-97051,Roger Barcio,4267,20
Africa,RB-97951,Ross Baird,68,698
Africa,RC-99601,Ryan Crowe,1610,157
Africa,RD-94801,Rick Duston,609,393
Africa,RD-95851,Rob Dowd,4464,18
Africa,RD-96601,Robert Dilbeck,2960,53
Africa,RD-97201,Roger Demir,2698,66
Africa,RD-98101,Ross DeVincentis,3021,50
Africa,RD-99001,Ruben Dartt,280,552
Africa,RD-99301,Russell D'Ascenzo,2183,91
Africa,RE-94051,Ricardo Emerson,868,305
Africa,RE-94501,Richard Eichhorn,1411,189
Africa,RF-93451,Randy Ferguson,688,360
Africa,RF-98401,Roy Französisch,173,620
